2018-10-25 12:49:47,230 [Worker-60: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:49:47,233 [Worker-60: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 12:49:52,190 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-10-25 12:49:57,303 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (3)] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment
2018-10-25 12:49:57,304 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (3)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2018-10-25 12:50:22,835 [Worker-53: Launching PP2-02-Prova-StackParenthesis-environment (3)] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment
2018-10-25 12:50:22,836 [Worker-53: Launching PP2-02-Prova-StackParenthesis-environment (3)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2018-10-25 12:50:22,837 [Worker-53: Launching PP2-02-Prova-StackParenthesis-environment (3)] WARN  o.e.m.i.l.MavenLaunchExtensionsSupport - Unknown or unsupported source locator org.eclipse.jdt.internal.launching.sourcelookup.advanced.AdvancedSourceLookupDirector
2018-11-29 14:10:56,839 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 14:10:56,859 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-11-29 14:10:56,863 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 14:10:56,866 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
